SP	GD	NUM_BP	DROPPED_PAIRS	SEQS	IUCN	status	Split	New Name	N_of_splits	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	Notes	Included in Phylogeny
Luscinia pectoralis	0.026086122	4990	0	20	LC	Non-threatened	Calliope tschebaiewi	NA	1	Calliope tschebaiewi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Parula pitiayumi	0.026238769	404	0	6	LC	Non-threatened	Setophaga graysoni	NA	1	Setophaga graysoni	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Dendroica coronata	0.026809225	836	0	8	LC	Non-threatened	Setophaga auduboni	NA	1	Setophaga auduboni	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Stiphrornis erythrothorax	0.027077844	7580	48	25	LC	Non-threatened	Stiphrornis xanthogaster, S. pyrrholaemus	NA	2	Stiphrornis xanthogaster	Stiphrornis pyrrholaemus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, No
Pitta erythrogaster	0.027242023	195870	0	140	LC	Non-threatened	Erythropitta inspeculata, Erythropitta caeruleitorques, Erythropitta palliceps, Erythropitta celebensis, Erythropitta dohertyi, Erythropitta rufiventris, Erythropitta rubrinucha, Erythropitta macklotii, Erythropitta meeki, Erythropitta gazellae, Erythropitta splendida, Erythropitta novaehibernicae	NA	12	Erythropitta inspeculata	Erythropitta caeruleitorques	Erythropitta palliceps	Erythropitta celebensis	Erythropitta dohertyi	Erythropitta rufiventris	Erythropitta rubrinucha	Erythropitta macklotii	Erythropitta meeki	Erythropitta gazellae	Erythropitta splendida	Erythropitta novaehibernicae	NA	No, No, No, No, No, No, No, No, No, No, No, No
Sylvia cantillans	0.027317348	114648	6338	134	LC	Non-threatened	Sylvia subalpina	NA	1	Sylvia subalpina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Motacilla flava	0.027632559	1937	334	23	LC	Non-threatened	Motacilla tschutschensis	NA	1	Motacilla tschutschensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Ninox novaeseelandiae	0.027666346	115	34	8	LC	Non-threatened	Ninox boobook	NA	1	Ninox boobook	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Lanius excubitor	0.028101942	20695	66	43	LC	Non-threatened	Lanius excubitor, L. borealis and L. meridionalis	NA	3	Lanius excubitor	Lanius borealis	Lanius meridionalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes, No, Yes
Bubo virginianus	0.028253568	191	48	10	LC	Non-threatened	Bubo magellanicus	NA	1	Bubo magellanicus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Hieraaetus morphnoides	0.028554857	414	0	6	LC	Non-threatened	Hieraaetus weiskei	NA	1	Hieraaetus weiskei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Malacoptila striata	0.028596567	931	0	9	NT	Non-threatened	Malacoptila minor	NA	1	Malacoptila minor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Carpodacus thura	0.028669055	1061	0	11	LC	Non-threatened	Carpodacus dubius	NA	1	Carpodacus dubius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Garrulax erythrocephalus	0.028753906	620	14	9	LC	Non-threatened	T. chrysopterum, T. melanostigma, T. peninsulae	NA	3	Trochalopteron chrysopterum	Trochalopteron melanostigma	Trochalopteron peninsulae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, No, No
Pomatorhinus ferruginosus	0.028919216	7632	0	23	LC	Non-threatened	Pomatorhinus phayrei	NA	1	Pomatorhinus phayrei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Icterus dominicensis	0.029131325	400	0	6	LC	Non-threatened	Icterus portoricensis, Icterus melanopsis, Icterus northropi	NA	3	Icterus portoricensis	Icterus melanopsis	Icterus northropi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, No, No
Pnoepyga albiventer	0.02984908	497	0	7	LC	Non-threatened	Pnoepyga formosana	NA	1	Pnoepyga formosana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Automolus rubiginosus	0.030615042	895	0	8	LC	Non-threatened	Clibanornis rufipectus	NA	1	Clibanornis rufipectus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Rhipidura javanica	0.030940172	28859	0	41	LC	Non-threatened	Rhipidura nigritorquis	NA	1	Rhipidura nigritorquis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Xiphorhynchus guttatus	0.031230001	23873	0	47	LC	Non-threatened	Xiphorhynchus guttatoides	NA	1	Xiphorhynchus guttatoides	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Zosterops senegalensis	0.03153335	24795	776	50	LC	Non-threatened	Z. poliogastrus, complex variation	NA	1	Zosterops poliogastrus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	complex variation	Yes
Hylophilus ochraceiceps	0.031598031	4487	0	17	LC	Non-threatened	Tunchiornis luteifrons	NA	1	Tunchiornis luteifrons	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Bleda eximius	0.032796914	5951	0	20	NT	Non-threatened	Bleda notatus and B. ugandae	NA	2	Bleda notatus	Bleda ugandae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes, No
Phylloscopus inornatus	0.033050073	647	24	9	LC	Non-threatened	Phylloscopus humei	NA	1	Phylloscopus humei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Phylloscopus trochiloides	0.033165602	1820	0	12	LC	Non-threatened	Phylloscopus trochiloides , P. nitidus and P. plumbeitarsus	NA	3	Phylloscopus trochiloides	Phylloscopus nitidus	Phylloscopus plumbeitarsus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes, Yes, No
Aulacorhynchus derbianus	0.033212005	6306	80	22	LC	Non-threatened	Aulacorhynchus whitelianus	NA	1	Aulacorhynchus whitelianus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Parus varius	0.033470084	969	0	8	LC	Non-threatened	Sittiparus varius, S. owstoni, S. olivaceus and S. castaneoventris	NA	4	Sittiparus varius	Sittiparus owstoni	Sittiparus olivaceus	Sittiparus castaneoventris	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, No, No, No
Saxicola torquatus	0.034039888	12656	0	29	LC	Non-threatened	Saxicola dacotiae	NA	1	Saxicola dacotiae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Chloropsis cochinchinensis	0.034460837	1824	0	14	NT	Non-threatened	Chloropsis moluccensis, Chloropsis kinabaluensis	NA	2	Chloropsis moluccensis	Chloropsis kinabaluensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, Yes
Forpus xanthopterygius	0.03481754	2781	54	15	LC	Non-threatened	Forpus spengeli	NA	1	Forpus spengeli	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Terpsiphone paradisi	0.035000652	2016	0	14	LC	Non-threatened	Terpsiphone paradisi, T. incei, T. affinis and T. floris	NA	4	Terpsiphone paradisi	Terpsiphone incei	Terpsiphone affinis	Terpsiphone floris	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes, No, No, No
Conopophaga lineata	0.035213366	896	16	9	LC	Non-threatened	Conopophaga cearae	NA	1	Conopophaga cearae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Daphoenositta chrysoptera	0.035374305	3454	16	6	LC	Non-threatened	Daphoenositta papuensis	NA	1	Daphoenositta papuensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Francolinus levaillantoides	0.035714087	681	6	8	LC	Non-threatened	Scleroptila gutturalis (no split, but this name should apply, taxonomic priority)	Scleroptila gutturalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no split but this name should apply taxonomic priority	No
Scytalopus latrans	0.035974897	147	0	6	LC	Non-threatened	Scytalopus intermedius	NA	1	Scytalopus intermedius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Paroaria gularis	0.036160857	2269	0	11	LC	Non-threatened	Paroaria nigrogenis	NA	1	Paroaria nigrogenis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Orthonyx novaeguineae	0.036250808	203	0	7	LC	Non-threatened	Orthonyx temminckii	NA	1	Orthonyx temminckii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Turdus olivaceus	0.036617033	390	0	6	LC	Non-threatened	Turdus abyssinicus, Turdus roehli, T. smithii	NA	3	Turdus abyssinicus	Turdus roehli	Turdus smithii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, No, No
Lanius meridionalis	0.036924666	75019	2160	87	VU	Threatened	Lanius excubitor (some African/Steppe forms)	NA	1	Lanius excubitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Copsychus saularis	0.037093811	21737	0	33	LC	Non-threatened	Copsychus mindanensis	NA	1	Copsychus mindanensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Pitohui kirhocephalus	0.03752365	593	2	10	LC	Non-threatened	Pitohui cerviniventris, Pitohui uropygialis	NA	2	Pitohui cerviniventris	Pitohui uropygialis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, No
Aegotheles bennettii	0.037688709	551	48	11	LC	Non-threatened	Aegotheles affinis	NA	1	Aegotheles affinis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
